name,address,number,lat,long
도로변(횡단보도 포함),서울특별시 강남구 대치동 938-23,-,37.497337,127.0549304
도로변(횡단보도 포함),서울특별시 강남구 대치동 1024-4,-,37.4969104,127.056225
도로변(횡단보도 포함),서울특별시 강남구 대치동 1022-1,-,37.4978466,127.0586073
도로변(횡단보도 포함),서울특별시 강남구 대치동 1021-8,-,37.498371,127.060633
도로변(횡단보도 포함),서울특별시 강남구 대치동 989-1,-,37.4987679,127.0615973
정류소-도로(가로)변,서울특별시 강남구 대치동 990-1,-,37.499343,127.0634426
정류소-도로(가로)변,서울특별시 강남구 역삼동 한티역,-,37.4967,127.0526
도로변(횡단보도 포함),서울특별시 강남구 역삼동 래미안그레이트아파트,-,37.4952,127.0463
도로변(횡단보도 포함),서울특별시 강남구 역삼동 785-15,-,37.4942981,127.0458923
정류소-도로(가로)변,서울특별시 강남구 역삼동 788-32,-,37.492925,127.0417845
정류소-도로(가로)변,서울특별시 강남구 역삼동 799-21,-,37.4919003,127.0385487
정류소-도로(가로)변,서울특별시 강남구 역삼동 839-17,-,37.4902771,127.0334164
정류소-도로(가로)변,서울특별시 강남구 도곡동 943-2,-,37.4896145,127.0328256
정류소-도로(가로)변,서울특별시 강남구 도곡동 545-7,-,37.4914126,127.0388478
정류소-도로(가로)변,서울특별시 강남구 도곡동 543-5,-,37.4924381,127.0424104
도로변(횡단보도 포함),서울특별시 강남구 대치동940-3 다이소매장앞,-,37.4981,127.0581
정류소-도로(가로)변,서울특별시 강남구 대치동 은마아파트 2동,-,37.4958,127.0669
정류소-도로(가로)변,서울특별시 강남구 대치동 605,-,37.4939595,127.0613227
정류소-도로(가로)변,서울특별시 강남구 대치동 629,-,37.4927153,127.0585168
도로변(횡단보도 포함),서울특별시 강남구 대치동 651,-,37.4921442,127.0573977
지하철역2번출구,서울특별시 강남구 도곡동 도곡역,-,37.49106,127.0556945
정류소-도로(가로)변,서울특별시 강남구 대치역,-,37.494569,127.063446
지하철역1번출구,서울특별시 강남구 대치동 학여울역,-,37.496683,127.070549
정류소-도로(가로)변,서울특별시 강남구 도곡동 숙명여고,-,37.4902,127.0534
지하철역2번출구,서울특별시 강남구 도곡동 매봉역,-,37.487035,127.046918
정류소-도로(가로)변,서울특별시 강남구 도곡동 180-13,-,37.4863667,127.04485
정류소-도로(가로)변,서울특별시 강남구 도곡동 411-20,-,37.4859297,127.0454085
도로변(횡단보도 포함),서울특별시 강남구 도곡동 463,-,37.4865821,127.0471902
정류소-도로(가로)변,서울특별시 강남구 도곡동 개포한신아파트,-,37.4876,127.0487
도로변(횡단보도 포함),서울특별시 강남구 대치동 1009-5,-,37.5014865,127.0677565
도로변(횡단보도 포함),서울특별시 강남구 대치동 1008-3,-,37.5029824,127.0669767
정류소-도로(가로)변,서울특별시 강남구 대치동 1007,-,37.5045459,127.0662051
정류소-도로(가로)변,서울특별시 강남구 대치동 1001,-,37.5074595,127.0644485
정류소-도로(가로)변,서울특별시 강남구 대치동 995-9,-,37.5079019,127.0642156
정류소-도로(가로)변,서울특별시 강남구 대치동 946-11,-,37.5078391,127.0630073
